x-axis,1,2
second,Volt,Volt
-30.200E-03,-6.000E-03,-6.812E-03
-30.100E-03,+5.250E-03,+1.937E-03
-30.000E-03,+4.000E-03,+1.000E-03
-29.900E-03,-19.125E-03,-6.812E-03
-29.800E-03,-4.750E-03,+1.937E-03
-29.700E-03,+7.125E-03,+375E-06
-29.600E-03,-7.250E-03,-6.812E-03
-29.500E-03,+1.500E-03,+3.187E-03
-29.400E-03,+10.250E-03,-2.437E-03
-29.300E-03,+250E-06,-4.625E-03
-29.200E-03,-11.000E-03,-7.125E-03
-29.100E-03,-9.125E-03,-5.562E-03
-29.000E-03,-28.500E-03,-5.250E-03
-28.900E-03,+12.750E-03,-250E-06
-28.800E-03,+4.000E-03,-1.812E-03
-28.700E-03,+4.000E-03,-1.500E-03
-28.600E-03,+875E-06,-4.312E-03
-28.500E-03,+250E-06,+3.812E-03
-28.400E-03,+4.625E-03,-1.812E-03
-28.300E-03,-1.000E-03,-2.437E-03
-28.200E-03,-6.625E-03,-3.375E-03
-28.100E-03,-8.500E-03,-2.437E-03
-28.000E-03,+2.125E-03,-562E-06
-27.900E-03,-375E-06,+687E-06
-27.800E-03,+4.000E-03,-875E-06
-27.700E-03,+875E-06,-1.812E-03
-27.600E-03,-7.875E-03,+63E-06
-27.500E-03,+250E-06,+1.000E-03
-27.400E-03,+14.000E-03,-250E-06
-27.300E-03,-2.250E-03,+63E-06
-27.200E-03,-1.625E-03,-6.187E-03
-27.100E-03,+2.125E-03,-5.562E-03
-27.000E-03,-9.125E-03,+63E-06
-26.900E-03,+3.375E-03,-3.687E-03
-26.800E-03,+4.000E-03,+3.500E-03
-26.700E-03,-2.250E-03,-4.000E-03
-26.600E-03,-6.000E-03,-3.687E-03
-26.500E-03,-12.875E-03,-1.500E-03
-26.400E-03,-9.125E-03,+4.125E-03
-26.300E-03,-9.125E-03,-562E-06
-26.200E-03,+9.625E-03,+1.000E-03
-26.100E-03,+875E-06,+375E-06
-26.000E-03,+875E-06,-1.500E-03
-25.900E-03,+14.000E-03,-875E-06
-25.800E-03,-3.500E-03,-1.500E-03
-25.700E-03,-2.250E-03,+2.875E-03
-25.600E-03,-12.250E-03,-5.562E-03
-25.500E-03,-4.750E-03,-4.312E-03
-25.400E-03,-1.625E-03,-4.937E-03
-25.300E-03,+250E-06,-4.625E-03
-25.200E-03,+22.750E-03,+3.187E-03
-25.100E-03,+9.625E-03,-2.437E-03
-25.000E-03,+5.250E-03,-6.812E-03
-24.900E-03,-19.125E-03,-875E-06
-24.800E-03,-7.250E-03,+1.937E-03
